"Component number","Component letter","Component name","Epidemics Description","Urban Description","Climate & Environmental Description","Migration Description"
"15","","Mapping of NS capacities ","- NS maps its resources and equipment (e.g. PPE) in line with types of epidemic-prone diseases and epidemic risks.  
- NS has identified its current capacity in terms of response teams,  especially teams trained in Health in Emergencies, or Epidemic  Control for Volunteers and Community Engagement and  Accountability (CEA).","- NS has identified its capacities to operate in complex urban environments. This can include physical resources, equipment,  logistic assets, pre-positioning of resources, agreements with suppliers, and also human resources that are trained on how to manage urban disasters. ","- The NS has a climate and environmental focal point.  
- NS personnel have completed specific environmental training or awareness raising to increase knowledge of environmental issues and how to mitigate environmental impact such as the ICRC/IFRC  Sustainable Development in Humanitarian Action massive open online course, NEAT+ training and/or ECHO Green Humanitarian Aid eLearning.  
- NS personnel have completed specific training on climate change  Red Alert (What is climate change and what can we do about it?) and climate-smart programming (forthcoming).","- The NS maps the teams' capacity to manage different volumes/impacts of migratory or displaced population flows.
- The NS's capacities are mapped in terms of PGI, CEA, Inclusion and Integration, MHPSS, Humanitarian Diplomacy, and advocacy.
- The NS maps its capacities to work with populations who speak languages other than those of the organization's staff and volunteers."
"16","","Early Action Mechanisms  ","- Early Action mechanism in case of epidemics is formalized with MoH, including triggers. 
- NS has appropriate mechanisms to share relevant information between headquarters and branches and implement early epidemic prevention and control measures.  
- The branches have functioning local networks to inform communities of potential epidemics (respecting mandates of public authorities).","- NS early action plans and mechanisms have adequate lead time to address the complexities, increased scale and infrastructure limitations within urban contexts (e.g., limited transportation capacities, evacuation routes, etc.). NS plans also include data and triggers that are appropriate for the target urban environment. For example, temperature and weather from an airport 50km outside of an urban area will not reflect the ‘heat island’ of the city.","- Nothing additional to consider.","- Early action mechanisms address migration or displacement situations, developing surveillance, alerts, and anticipatory actions to reduce the crises faced by people during their displacement and/or settlement, and establish procedures to activate the NS's response.
- The NS has established early action partnerships (mechanisms to trigger early actions) aligned with the relevant government entities for each event/hazard, including population movements.
- The NS have strong networks that help keep them informed about potential movements or migration flows to or within their country. These networks may include internal actors as well as neighboring NS."
"17","","Cash Based Intervention (CBI)  ","- NS CVA programme is tailored to face the challenges of infectious disease outbreaks (e.g. support for vulnerable household members that need to remain in isolation and are unable to work).","- NS has agreements with local financial institutions that can operate within urban contexts and can fully leverage electronic funds distribution, supplemented by smaller scale physical distribution.","- CVA programmes undergo environmental screening as part of their design, to identify potential environmental impacts of the consumption decisions made by populations receiving them.","- The NS is capable of conducting a market analysis to determine the viability of using cash and/or vouchers to provide assistance in transit or settlement areas for migrant or displaced communities.
- The NS considers different migrant and displaced populations when developing cash-based interventions, as these individuals' legal status and access to identification documents could affect their ability to access cash assistance.
- The NS has identified (and signed framework agreements with) financial service providers capable of operating in transit or settlement areas for migrant or displaced communities."
"18","","Emergency Needs Assessment ","- Data collection templates for epidemic needs assessment are available. They include available health services and needs, trusted communication channels, information requirements, etc. 
- Emergency multi-sectoral assessment team is trained on relevant  Infection prevention and control measures.","- Nothing additional to consider.","- Emergency multi-sectoral assessment team members are trained on basic environmental considerations in emergencies and know how to record and report information and findings. The information collected feeds into an environmental screening of programmes and operations  (e.g., using tools like the NEAT+).","- The NS conducts participatory needs assessments of migrant or displaced populations, as well as transit or receiving communities (initial and, over time, more detailed to identify changing needs throughout the intervention).
- The NS takes into account additional factors such as legal status, documentation, language, and protection risks, reliable communication channels, and information requirements when assessing the needs of migrant or displaced populations.
- The NS shares the outcome of the participatory assessment in an appropriate format with key stakeholders, including the host community, relevant authorities, etc.
- Needs assessment teams include migration, PGI, and MHPSS specialists, as well as people who can speak the same language as the migrant populations.
- In migration or displacement situations, new community leaders or representatives emerge. The NS should consider whether those presenting themselves as leaders or representatives are truly representative of the migrant or displaced population."
"19","","Affected Population Selection  ","- NS has a policy to share personal data with operational actors (e.g. contact tracing) in line with Movement data protection policies.","- NS has the capacity to identify and consult with a representative  cross-section of communities in densely populated urban areas,  which are often not clearly distinguishable from one another. 
- NS has the capacity to define the most vulnerable populations affected by disasters and crises in urban areas (e.g., high-rise residents affected by earthquakes, the urban poor, many of whom fall outside government protection programmes and/or do not want to be found or identified by governments /public authorities).","- Nothing additional to consider.","- The NS takes into consideration additional vulnerabilities, such as nationality, ethnicity, legal status, disability, language, and sexual orientation, among others.
- The NS also analyses the needs of the host community and determines how to support both host communities and migrant or displaced communities to facilitate their coexistence and avoid conflict."
"20","","Emergency Operations Centre (EOC)  ","- EOC structure includes decision-making responsibilities for health staff, and how NS EOC supports the national EOC. 
- NS EOC is linked to the MoH's EOC. 
- EOC SOPs are adapted to epidemics and involve health staff.
- The roles of health managers within the EOC are clear.","- NS EOC is adequately equipped and has the capacity to manage large amounts of data/information which is typically generated in urban environments. 
- NS has the ability to scale-up the size and/or functionality of its EOC  when needed. 
- The NS EOC is interoperable with city government EOCs and/or incorporates city government officials and other stakeholders.","- Plans for EOC have been subjected to environmental screening with a particular focus on emissions and impacts from energy, water and waste.","- Nothing additional to consider."
"21","","Information Management (IM)","- NS is able to manage and analyze data related to epidemics (e.g.,  dead body management, CBS). 
- Specific SOPs for data protection and data sharing in epidemics are available.","- NS is able to manage and analyse large and complex data generated from urban contexts and has the capacity to share/manage that data with multiple government departments and systems while ensuring data integrity and privacy.","- Situation reports include information collected on environmental considerations (e.g., assessments or actions).","There are clear procedures on how information from neighboring/regional NSs that are also working with migrant populations (in migration route contexts) is collected, shared, and protected."
"22","","Testing and Learning  ","- NS conducts epidemic-specific simulations and/or drills at least once a year and more often in areas at high risk of epidemics.  Simulations cover cross-border dimensions where applicable. 
- Testing of plans, SOPs, etc. (via simulation or tabletop exercise)  includes health and safety measures specific to epidemics for staff and volunteers.","- Nothing additional to consider.","- Drills and simulations include environmental issues.","The NS conducts practical or tabletop drills so that all relevant staff and volunteers know what they will be expected to do in migration or population displacement contexts."
"23","","Activation of Regional and International Support","- NS has developed SOPs for the acceptance of medical personnel, medical equipment, and supplies including medication and laboratory supplies.","- Nothing additional to consider.","- NS knows it can call for technical environmental expertise from IFRC if the crisis context requires it. In this instance, the focal point in the NS  is clearly appointed.","- Nothing additional to consider."
"24","","Coordination with Movement  ","- Framework for the use and coordination of international assistance  includes management of medical teams.","- Nothing additional to consider.","- NS is aware of IFRC's Green Response Working Group, and the Red  Cross Climate Centre, and the possibility to ask them for advice and  support.","NS participates in the Movement's regional coordination mechanisms on migration."
"25","","Coordination with Authorities ","- NS knows the national authorities' capacities for epidemic prevention and control and identifies areas within a response to fulfill their auxiliary role. 
- NS has clearly defined guidance for the use of the emblem by non-RCRC medical teams. 
- NS is part of the National Risk Communication and Community  Engagement (RCCE) working groups, if applicable.","- NS coordinates with public authorities to provide adequate support for vulnerable groups within urban contexts (e.g. urban migrants,  urban poor). 
- NS coordinates with National technical working groups and other relevant urban consortia and examines the option for Urban Sub TWGs to lay focus on urban complexities.","- The NS engages and coordinates with government agencies such as ministries and/or departments of environment, energy, water and sanitation, climate change, agriculture, forestry, fisheries, and land use and planning.","- The NS has mapped state bodies that regulate and establish policies for the care of migrants and displaced persons, understands their role and responsibilities and collaborates with them.
- The NS has a clear position, in line with IFRC and ICRC guidance, regarding its work with migrants who have been detained by authorities, and this position is communicated to the authorities."
"26","","Coordination with External Agencies and NGOs  ","- NS has coordination mechanisms for external agencies and NGOs specific to epidemic risk management. 
- NS is actively engaged in the country’s health security agenda,  adopting a “One Health” approach, where relevant. 
- NS has identified partners it works closely with and has discussed coordination mechanisms for epidemic risk management with them  (UNICEF, Global Fund, GAVI, private sector, media, etc.).","- Nothing additional to consider.","- The NS has identified possible partners amongst non-government environmental agencies including national and international NGOs and environmental research institutes who can provide information and technical advice or implement climate and environmental interventions.","- The NS has collaborative agreements with key organisations working in migration and displacement situations, such as UNICEF, UNHCR and IOM.
- The NS collaborates with key actors to enable access to protection services for victims of trafficking, including representatives from international organisations, civil society organisations and state authorities, and, where appropriate, the National Referral Mechanism.
- The NS identifies other partners, such as private organisations and academic institutions, that can provide support in specific areas, such as Humanitarian Diplomacy."
"27","","Civil Military Relations ","- NS has a mechanism to coordinate with the military in epidemic contexts. 
- NS is recognised as a first responder and is granted legal facilities to ","- Nothing additional to consider.","- Nothing additional to consider.","If a migration situation escalates and becomes a national security issue, resulting in restrictions that affect the movement of response personnel, the NS stands ready to ensure people in need get access to humanitarian assistance."
"28","","Coordination with Local Community Level Responders","- NS is able to coordinate with local community-level responders during epidemics (e.g. with a limited number of staff and volunteers, virtually, or during security/access-related challenges).","- Nothing additional to consider.","- NS engages communities in discussions related to climate change, green response, and local environmental considerations.","- NS works with local community-level responders, both from host communities and from migrant or displaced communities.
- NS promotes the active involvement of local community-level responders and supports their existing response."
"29","","Cooperation with Private Sector ","- NS has coordination mechanisms with the private sector specific to epidemic risk management (e.g. partnership with telecommunication or PPE providers, duty of care for corporate partner volunteers).","- NS offers training on key disaster preparedness skills for small and medium enterprises, which are more concentrated in urban environments, to minimize disaster impacts and spur faster recovery.","- Nothing additional to consider.","- Nothing additional to consider."
"30","","Safety and Security Management ","- NS conducts an assessment related to risks on responders which are emerging in the context of epidemics to develop/update appropriate mitigation plans (e.g. risk of attacks on health workers due to fear and misunderstanding of a disease).","- Nothing additional to consider.","- Nothing additional to consider.","- The NS considers specific security measures for humanitarian services points, reception centres, and temporary shelters.
- The NS has systems adapted to safeguard the physical integrity of workers and volunteers involved in responding to migration and displacement contexts in situations with hostile environments towards migration or organizations linked to human trafficking.
- The NS considers specific measures for the safety and protection of staff and volunteers working with trafficking survivors."
"31","","Operations Monitoring, Evaluation, Reporting and Learning  ","- NS has a plan to cover any PMER-related gaps that may arise during epidemics (e.g. limited human resources or mobility restrictions). 
- System to monitor community feedback and rumors during epidemics is in place.","- NS is able to scale-up operational monitoring, evaluation, and reporting (with human resources, systems, etc.) to manage the complexity and abundance of information generated by urban disasters.","- Nothing additional to consider.","PMERL adapts tools and approaches to the migration context, considering whether the persons are migrants or displaced persons, and whether they are mobile, temporarily stranded, or settling."
"32","","Finance and Admin Policy and Emergency Procedures ","- NS has a plan to cover any finance and admin-related gaps that may arise during epidemics to ensure essential procedures are adhered to. 
- NS assesses alternative payment possibilities in the context of mobility restrictions such as mobile money (where this is not already in place).","- Nothing additional to consider.","- Nothing additional to consider.","Depending on the need, the Finance and Administration departments can quickly move resources to relevant branches closest to migrant or displaced populations."
"33","","Information and Communication Technology (ICT)  ","- NS has a plan to ensure the continuity of ICT functions essential for a response during epidemics (e.g. availability of essential staff, or resources needed to carry out rumour management or CBS  activities).","- NS has alternative means for communication in place, as ICT infrastructure might be particularly affected in urban areas and the remaining infrastructure struggles to meet the high demand after disaster, thus limiting the ability to reach stakeholders and the affected population.","- Nothing additional to consider.","- Data collectors have mobile devices or tablets that they can use to enter data collected during evaluation and monitoring activities, and can charge them at least daily.
- The teams have laptops they can use to ensure response teams can move and change locations based on the location of migrant or displaced populations.
- The ICT department can work with response teams to establish infrastructure that provides electricity for charging phones and Wi-Fi for people on the move.
- The NS has access to translation software to help communicate with the affected population."
"34","","Logistics, Procurement and Supply Chain  ","##### LOGISTICS MANAGEMENT 
- NS consults WHO and MoH on pre-positioned relief item specifications related to epidemics which contributes to the analysis of optimal supply chain options with suppliers in terms of cost, speed, reliability, and environmental impact. 
- NS is prepared to manage the impact of lockdown, possible disrupted supply chain of essential items, and limited availability of onsite logistics-related staff/volunteers. 
- NS has SOPs for accepting, rejecting, storing, disposing, and reporting on in-kind medical donations. 
##### SUPPLY CHAIN MANAGEMENT 
- NS has supply chain management processes that are adapted to epidemics, (e.g. with pre-identified trusted suppliers for critical items such as PPE or cholera kits). 
##### PROCUREMENT 
- NS has clear processes for local procurement of medical items and other supplies, and qualified health personnel assess the items’  quality in consultation with IFRC logistics if necessary. 
##### FLEET AND TRANSPORTATION MANAGEMENT 
- NS has infection prevention and control measures in place for the use of vehicles and other relevant facilities during epidemics (e.g. fleet office, drivers’ room). 
- Drivers are included in infection prevention and control and psychosocial support training in epidemics. 
##### WAREHOUSE AND STOCK MANAGEMENT 
- NS has warehousing and stock management procedures adapted to epidemics. If medical items and other supplies are in use (and especially if it has an expiration date), NS has dedicated HR,  technical capacity and appropriate physical space to manage it during and after the epidemic, including rotating or donating items to prevent losses.","##### LOGISTICS MANAGEMENT 
- NS has identified alternative transport and access routes in the case of damaged or collapsed urban infrastructure (e.g., bridges,  roads, etc.). 
- NS has pre-identified supplier agreements domestically to support a scale-up of operations, taking advantage of the increased access to service providers in urban contexts. 
- NS has pre-identified supplier agreements internationally to support a scale-up of operations in the event domestic sources are unavailable.","##### LOGISTICS MANAGEMENT 
- The NS logistics and procurement systems involve checks on the environmental sustainability of needed products and services. 
- The logistics and procurement system includes policies to reduce waste associated with single-use plastic and packaging.  
##### PROCUREMENT  
- Procurement and contract documentation includes reference to environmental standards and related considerations. 
##### FLEET AND TRANSPORTATION MANAGEMENT 
- The NS has a fleet tracking system to monitor efficient vehicle use,  and drivers have undergone fuel-efficient driving training.  
- NS transportation procedures ensure that appropriate vehicles are used according to the context, to reduce fuel consumption and carbon emissions e.g., not using 4-wheel drive vehicles unless necessary. 
##### WAREHOUSE AND STOCK MANAGEMENT 
- The NS has a relief item pre-positioning plan with an adequate stock rotation system to avoid wasting materials that are not used within their shelf-life period.","##### LOGISTICS MANAGEMENT
- There is a clear plan in place to replenish the stock of used items, in order to ensure that pre-positioned materials are maintained.
##### SUPPLY CHAIN MANAGEMENT
- The NS has local suppliers and alternative options in case of a sudden increase in demand.
- The NS has analysed optimal supply chain options for migration or displacement situations (e.g., pre-positioned relief items, pre-existing agreements with suppliers, environmental impact) in terms of cost, timeliness, and reliability.
- The NS is prepared to handle a potential disruption in the supply chain of essential items.
##### FLEET AND TRANSPORTATION MANAGEMENT
- There are appropriate and properly marked vehicles, as well as trained personnel, to provide services in different locations, according to the identified need, and capable of deploying immediately (e.g., mobile first aid units, mobile telecommunications unit, etc.).
- There are capabilities to help make the necessary arrangements to get people to places where they can access services (e.g., hospitals, immigration services, etc.).
##### WAREHOUSE AND STOCK MANAGEMENT
- The NS coordinates its stocks and equipment with other neighboring or regional NSs, as stocks may be moved and passed on depending on population movements."
"35","","Staff and Volunteer Management","- NS conducts regular training of key staff and responders on epidemic prevention and control at all levels (HQ, high-risk branches, volunteers).  
- NS takes measures to protect staff and volunteers, by limiting their risk of exposure or enhancing safety and protection measures (e.g. vaccination of staff/volunteers, provision of PPE).  
- NS checks local labor laws to identify if specialized skills are required to carry out particular tasks during epidemics.
- NS response staff and volunteers are insured during epidemics and  NS informs/deploys them accordingly (NB: in general, insurance policies for volunteers do NOT cover epidemic risk). 
- Mental health and psychosocial support arrangements are available for response teams or other staff and volunteers to help them manage stress/stigma during/after an outbreak.","- NS provides training to responders on how to manage urban disasters (e.g., training can cover how to conduct needs assessments, ways to improve coordination among a higher number of stakeholders, etc.). 
- NS has sufficient equipment and protective material for responders to manage urban disasters. 
- NS is able to rapidly scale up operations with an increased number of responders that have sufficient background and training on how to manage the complexity of urban disasters. 
- NS has procedures in place to accept and manage a high volume of spontaneous volunteers or has agreements with organizations that are better placed to support this function.","- The NS includes basic climate and environmental awareness within the staff and volunteer mandatory training.","- The NS can recruit and train individuals from the migrant or displaced population, as well as from the host population, to serve as volunteers, thus ensuring that they are representative of the people being supported.
- The NS can recruit individuals who speak languages relevant to the migrant and displaced populations, and who can translate for others.
- NS staff and volunteers are trained in key CEA and PGI components to ensure that they can adapt their communications with the affected populations as needed.
- The NS ensures that all staff and volunteers involved in operations are aware of the Safeguarding code (policies for the prevention of and response to sexual exploitation and abuse).
- The NS reviews local labor laws to determine whether people from migrant or displaced communities can volunteer for the NS."
"36","","Communication in Emergencies  ","- Key risk messages are developed/adapted and shared with staff and volunteers regularly for public dissemination during epidemics. 
- NS has a community feedback system for epidemics.","- NS has identified appropriate communication channels which have the highest outreach to the affected population in urban areas based on identified context analysis (incl. demographics, and languages spoken). 
- NS has an in-depth analysis of communication networks in the urban context to track negative publicity and tackle it.","- Nothing additional to consider.","- The NS gathers information from displaced or migrant populations about the forms and types of communication they prefer, and adapts the communication strategy and approach accordingly.
- The NS has the capacity to establish dialogue and disseminate messages among the migrant or displaced population's host communities, to increase acceptance and avoid rejection and/or xenophobic attacks."
"37","","Resource Mobilisation","- NS has identified potential partners that can provide in-kind  donations during epidemics (e.g. PPE).","- Nothing additional to consider.","- The NS has identified potential sources of funds associated with addressing environmental issues in disaster management.","The NS has mapped potential donors and capacities to reach out to those interested in supporting migrants and displaced persons, including non-traditional donors such as the diaspora, local businesses, etc."
